theta,g,beta0,G_eff,is_percolating,engine_version,engine_variant,baseline_fp
3.1688303044461796,0.0006779063399414769,899,0.0,False,v4,holm,014d59a0d7b143ba
3.2173509255441686,0.0006062462628585579,882,0.0,False,v4,holm,014d59a0d7b143ba
3.2334321777444774,0.0005842084337642349,864,0.0,False,v4,holm,014d59a0d7b143ba
3.2461586969917486,0.0005673372549323994,847,0.0,False,v4,holm,014d59a0d7b143ba
3.257124742868839,0.0005531911926956196,829,0.0,False,v4,holm,014d59a0d7b143ba
3.2712150833265055,0.000535531371168385,811,0.0,False,v4,holm,014d59a0d7b143ba
3.277189973114468,0.0005282141449091207,794,0.0,False,v4,holm,014d59a0d7b143ba
3.2889333505031018,0.0005141225459300552,776,0.0,False,v4,holm,014d59a0d7b143ba
3.2950636942257168,0.0005069163577728029,758,0.0,False,v4,holm,014d59a0d7b143ba
3.3024703955682813,0.0004983444253192068,741,0.0,False,v4,holm,014d59a0d7b143ba
3.309880007397872,0.0004899141606105121,723,0.0,False,v4,holm,014d59a0d7b143ba
3.3144912598459233,0.00048473986789107464,706,0.0,False,v4,holm,014d59a0d7b143ba
3.3185604414757446,0.0004802192426887851,689,0.0,False,v4,holm,014d59a0d7b143ba
3.3258360192798717,0.0004722413162741907,671,0.0,False,v4,holm,014d59a0d7b143ba
3.333828352630367,0.0004636301253039242,653,0.0,False,v4,holm,014d59a0d7b143ba
3.338911320582708,0.0004582354451304375,636,3.760668078257949e-05,True,v4,holm,014d59a0d7b143ba
3.3440438641819643,0.0004528518390999139,618,7.918012425464397e-05,True,v4,holm,014d59a0d7b143ba
3.3484439858952664,0.00044828686507185735,601,9.028798586961423e-05,True,v4,holm,014d59a0d7b143ba
3.3531831195967388,0.000443421636461153,584,9.028798632577303e-05,True,v4,holm,014d59a0d7b143ba
3.35598820447339,0.00044056682922889804,569,0.00011078152038895366,True,v4,holm,014d59a0d7b143ba
3.360647013219933,0.00043586599383164525,554,0.00011388141990423523,True,v4,holm,014d59a0d7b143ba
3.3653037138804707,0.000431217409357555,539,0.00012031940534986081,True,v4,holm,014d59a0d7b143ba
3.3698414672305104,0.0004267352637625132,522,0.00013288486128821043,True,v4,holm,014d59a0d7b143ba
3.3737255799959187,0.00042293577256628844,508,0.00013618802634476803,True,v4,holm,014d59a0d7b143ba
3.3766803732555895,0.000420068026786152,493,0.00017643453734182633,True,v4,holm,014d59a0d7b143ba
3.38130562982411,0.00041561802107657536,480,0.00022341430453697787,True,v4,holm,014d59a0d7b143ba
3.386138575293454,0.00041101855180181694,471,0.0002733670997521597,True,v4,holm,014d59a0d7b143ba
3.3883865971480684,0.00040889650911281447,457,0.00030011238635241355,True,v4,holm,014d59a0d7b143ba
3.3920404693026796,0.00040547075029622836,447,0.000379209256436164,True,v4,holm,014d59a0d7b143ba
3.396439337384275,0.00040138456007764487,435,0.000415305588392641,True,v4,holm,014d59a0d7b143ba
3.400505179827462,0.00039764435374466063,422,0.00044158640647273774,True,v4,holm,014d59a0d7b143ba
3.404009086121567,0.0003944490494963096,409,0.0004519841172200816,True,v4,holm,014d59a0d7b143ba
3.4081843158911496,0.00039067505692832056,398,0.00046099817728586216,True,v4,holm,014d59a0d7b143ba
3.411011634815727,0.00038813996752214716,383,0.00048243691332146006,True,v4,holm,014d59a0d7b143ba
3.414498211245415,0.00038503640054773664,372,0.0004898284713965,True,v4,holm,014d59a0d7b143ba
3.4164681570285174,0.0003832938429156749,361,0.0005383276070717012,True,v4,holm,014d59a0d7b143ba
3.421997502340637,0.0003784447611743649,346,0.0005996473292480585,True,v4,holm,014d59a0d7b143ba
3.425377757831082,0.00037551063570179797,337,0.0006251708780243694,True,v4,holm,014d59a0d7b143ba
3.428461175286304,0.00037285401556071075,322,0.0006708839999879081,True,v4,holm,014d59a0d7b143ba
3.431956697740371,0.0003698650561278316,311,0.0006922250089029002,True,v4,holm,014d59a0d7b143ba
3.4343277056657535,0.00036785129927188764,301,0.0007406497853330568,True,v4,holm,014d59a0d7b143ba
3.437321877421818,0.0003653239313637499,291,0.0007666515654684095,True,v4,holm,014d59a0d7b143ba
3.43991257012512,0.0003631511550872633,281,0.000810138293834445,True,v4,holm,014d59a0d7b143ba
3.444348079765762,0.0003594611175948964,273,0.0008635696827769659,True,v4,holm,014d59a0d7b143ba
3.4485998592519467,0.00035595913336685563,266,0.0008976962241148684,True,v4,holm,014d59a0d7b143ba
3.453291989055032,0.0003521340412824529,256,0.0009139015854136167,True,v4,holm,014d59a0d7b143ba
3.4559595462386126,0.00034997776531875034,244,0.000928196919170157,True,v4,holm,014d59a0d7b143ba
3.4588148963593364,0.00034768431879423164,237,0.0009458058644712814,True,v4,holm,014d59a0d7b143ba
3.460991274472734,0.00034594632825704494,231,0.0009804485364081387,True,v4,holm,014d59a0d7b143ba
3.4644569115466726,0.00034319668830857614,224,0.0010141427538388238,True,v4,holm,014d59a0d7b143ba
3.4677036440057067,0.00034064055838109973,216,0.0010293843344123341,True,v4,holm,014d59a0d7b143ba
3.4710334001278658,0.0003380388377762393,208,0.00107970977868866,True,v4,holm,014d59a0d7b143ba
3.4736613310773072,0.00033599952924840613,201,0.0011019435768704336,True,v4,holm,014d59a0d7b143ba
3.4781439101161746,0.0003325493397267269,198,0.0011331970238696897,True,v4,holm,014d59a0d7b143ba
3.4816420713770193,0.0003298814756573136,189,0.0011765710683958363,True,v4,holm,014d59a0d7b143ba
3.4851044669420195,0.00032726196450050856,186,0.0011992532926593472,True,v4,holm,014d59a0d7b143ba
3.489766120753168,0.00032376796773929265,181,0.0012762778453389632,True,v4,holm,014d59a0d7b143ba
3.496769863891949,0.00031858853005207636,176,0.0013241850853881458,True,v4,holm,014d59a0d7b143ba
3.4990813311889273,0.0003168973947434895,173,0.0013528492981778482,True,v4,holm,014d59a0d7b143ba
3.503535913695651,0.00031366357374104886,166,0.0013905881012594254,True,v4,holm,014d59a0d7b143ba
3.507495717583748,0.0003108166551061944,163,0.0014191357235956359,True,v4,holm,014d59a0d7b143ba
3.5101616155417963,0.0003089145643893596,156,0.0014623414505130735,True,v4,holm,014d59a0d7b143ba
3.5142003174327403,0.0003060551435047151,152,0.0014974009318907148,True,v4,holm,014d59a0d7b143ba
3.5183667250135255,0.0003031330400638121,147,0.0015191837783343363,True,v4,holm,014d59a0d7b143ba
3.5223969199678344,0.0003003330178327227,145,0.0015538929888680587,True,v4,holm,014d59a0d7b143ba
3.5271676082566144,0.00029705193911884047,137,0.0015938071347794827,True,v4,holm,014d59a0d7b143ba
3.5306551090732325,0.00029467608475853093,135,0.0016461152659651306,True,v4,holm,014d59a0d7b143ba
3.533951310270757,0.0002924480229508116,130,0.0016846570448623341,True,v4,holm,014d59a0d7b143ba
3.5370929637779387,0.000290340109458718,128,0.0017243234506902872,True,v4,holm,014d59a0d7b143ba
3.53987791417462,0.00028848423558443974,123,0.0017432216992397571,True,v4,holm,014d59a0d7b143ba
3.543984044019432,0.0002857695533188734,119,0.0017871970482505552,True,v4,holm,014d59a0d7b143ba
3.5470757454057313,0.0002837424109457471,112,0.0018142381665105043,True,v4,holm,014d59a0d7b143ba
3.550695337296675,0.00028138741040657273,109,0.0018861746776995887,True,v4,holm,014d59a0d7b143ba
3.5544782650326208,0.00027894702563819836,107,0.0019154903468348214,True,v4,holm,014d59a0d7b143ba
3.5584932930386355,0.00027638006011787493,102,0.0019458698512495498,True,v4,holm,014d59a0d7b143ba
3.5635101508450617,0.00027320575862461267,99,0.001959270955363388,True,v4,holm,014d59a0d7b143ba
3.5675498596794175,0.0002706762433096222,94,0.001973783725727428,True,v4,holm,014d59a0d7b143ba
3.572213003395213,0.000267785462627865,90,0.0020141979351785072,True,v4,holm,014d59a0d7b143ba
3.575745788125545,0.00026561598755281705,87,0.00204559448632087,True,v4,holm,014d59a0d7b143ba
3.5800120794883545,0.0002630194834507833,85,0.002067577738685448,True,v4,holm,014d59a0d7b143ba
3.585188889332558,0.00025990289118833234,82,0.0020974628446689975,True,v4,holm,014d59a0d7b143ba
3.5880164732903292,0.00025821622443864976,77,0.002118619492865396,True,v4,holm,014d59a0d7b143ba
3.5918235940715246,0.00025596253691394347,75,0.0021360793778214303,True,v4,holm,014d59a0d7b143ba
3.594657452102503,0.0002542977677402437,73,0.0021808145124838168,True,v4,holm,014d59a0d7b143ba
3.599156023007769,0.0002516772599035012,68,0.0022153695894334548,True,v4,holm,014d59a0d7b143ba
3.6017531387890314,0.00025017670093750586,64,0.0022461762725163727,True,v4,holm,014d59a0d7b143ba
3.6051837773755366,0.0002482082557420944,63,0.002267398236289964,True,v4,holm,014d59a0d7b143ba
3.6104584838330167,0.00024521188516990196,63,0.0023106435000741477,True,v4,holm,014d59a0d7b143ba
3.616476583599284,0.0002418373728907083,60,0.0023285373112574962,True,v4,holm,014d59a0d7b143ba
3.6212943711645806,0.0002391694081570339,57,0.002351454644903875,True,v4,holm,014d59a0d7b143ba
3.6267971433544615,0.00023615810575661666,57,0.0023861231830805975,True,v4,holm,014d59a0d7b143ba
3.630468404482735,0.00023417018309818718,52,0.0023954399133317753,True,v4,holm,014d59a0d7b143ba
3.636576817332967,0.00023089960111717818,50,0.0024187415296031355,True,v4,holm,014d59a0d7b143ba
3.641979359198344,0.00022804504528546604,46,0.00243704964111435,True,v4,holm,014d59a0d7b143ba
3.6468165385588134,0.00022551916841654756,45,0.002464710889363369,True,v4,holm,014d59a0d7b143ba
3.6510327106779092,0.00022334039984730705,44,0.0024907199175030507,True,v4,holm,014d59a0d7b143ba
3.65575307437388,0.00022092604891898833,43,0.00252821725910534,True,v4,holm,014d59a0d7b143ba
3.66050912552148,0.00021851984031489175,42,0.0025789003540709335,True,v4,holm,014d59a0d7b143ba
3.6662140997733488,0.0002156680940113581,40,0.0026049351901818616,True,v4,holm,014d59a0d7b143ba
3.6720256952659027,0.00021280131372196557,40,0.0026359523351578294,True,v4,holm,014d59a0d7b143ba
3.6775747848102904,0.00021009959497766975,37,0.002648262969525816,True,v4,holm,014d59a0d7b143ba
3.681240087115162,0.00020833388512000333,34,0.0026756471954268697,True,v4,holm,014d59a0d7b143ba
3.6884186406621713,0.00020491859019279,34,0.0027077804646175397,True,v4,holm,014d59a0d7b143ba
3.6932173481225616,0.00020266681941501113,34,0.0027336260181671573,True,v4,holm,014d59a0d7b143ba
3.6966027541817676,0.00020109313550551548,33,0.0027626368795348254,True,v4,holm,014d59a0d7b143ba
3.705088762762611,0.00019720196460271724,31,0.00278502872511632,True,v4,holm,014d59a0d7b143ba
3.7112445435082955,0.00019442649922581605,30,0.0028056737476644298,True,v4,holm,014d59a0d7b143ba
3.715492591109039,0.00019253398903295376,30,0.002828783647554919,True,v4,holm,014d59a0d7b143ba
3.7206337398354665,0.00019026822213991204,30,0.002843787804446418,True,v4,holm,014d59a0d7b143ba
3.729508749665006,0.00018641946202281118,30,0.002867259369316994,True,v4,holm,014d59a0d7b143ba
3.7356230368356504,0.0001838133131859358,29,0.0028873452683783286,True,v4,holm,014d59a0d7b143ba
3.7411995590785208,0.00018146816217682506,27,0.0028986443141887893,True,v4,holm,014d59a0d7b143ba
3.7489117738854287,0.0001782740891153876,27,0.002914970006344247,True,v4,holm,014d59a0d7b143ba
3.756183177479985,0.000175314090306668,24,0.0029286979151775193,True,v4,holm,014d59a0d7b143ba
3.7629965940490253,0.00017258514269130373,22,0.0029474244186540326,True,v4,holm,014d59a0d7b143ba
3.772266899898323,0.00016894023738860377,21,0.002975324095818691,True,v4,holm,014d59a0d7b143ba
3.782085140699082,0.00016516379732613357,20,0.002990326854167346,True,v4,holm,014d59a0d7b143ba
3.7918952699975863,0.00016147479059203503,20,0.0030120061136425227,True,v4,holm,014d59a0d7b143ba
3.7970098690602825,0.00015958428823307458,18,0.003027814796936448,True,v4,holm,014d59a0d7b143ba
3.8082500968551534,0.0001555069856730166,18,0.003051468898664658,True,v4,holm,014d59a0d7b143ba
3.817486302635524,0.00015223471459585464,16,0.003067781249401777,True,v4,holm,014d59a0d7b143ba
3.823579009539322,0.0001501139284364094,15,0.003082757970348077,True,v4,holm,014d59a0d7b143ba
3.8328828643546617,0.0001469322522221673,14,0.0030970209098115957,True,v4,holm,014d59a0d7b143ba
3.842719988432149,0.0001436415264261888,14,0.003106017267958471,True,v4,holm,014d59a0d7b143ba
3.855061950548371,0.00013961691883293125,12,0.003128647452323326,True,v4,holm,014d59a0d7b143ba
3.8695536457406057,0.00013503500170756875,12,0.003141050291656465,True,v4,holm,014d59a0d7b143ba
3.883815892140827,0.00013067247227187373,11,0.0031505477106775607,True,v4,holm,014d59a0d7b143ba
3.8983943750323653,0.00012635883843712504,10,0.0031636201630548663,True,v4,holm,014d59a0d7b143ba
3.907146093717583,0.0001238379933845799,10,0.0031693226717187995,True,v4,holm,014d59a0d7b143ba
3.924412520764664,0.00011901110271583057,8,0.003181392453391556,True,v4,holm,014d59a0d7b143ba
3.937381817757863,0.00011550962721155524,8,0.003194893872940309,True,v4,holm,014d59a0d7b143ba
3.960084647314133,0.00010962645049873194,7,0.003205646712729064,True,v4,holm,014d59a0d7b143ba
3.9761065313018276,0.00010565583064317397,7,0.0032149648730845025,True,v4,holm,014d59a0d7b143ba
3.9885660835411096,0.00010266771975234262,6,0.0032252194841081694,True,v4,holm,014d59a0d7b143ba
4.018660362626887,9.579429319123207e-05,5,0.0032330798166629437,True,v4,holm,014d59a0d7b143ba
4.036281167257951,9.198538549391544e-05,5,0.003246151419876285,True,v4,holm,014d59a0d7b143ba
4.059335873973349,8.722964921853305e-05,4,0.003253484389620329,True,v4,holm,014d59a0d7b143ba
4.087312746020723,8.178756038999368e-05,3,0.0032614360703782266,True,v4,holm,014d59a0d7b143ba
4.119105798201821,7.601410768998044e-05,3,0.0032685110987090713,True,v4,holm,014d59a0d7b143ba
4.149560126234689,7.086631882373478e-05,3,0.0032761842662800077,True,v4,holm,014d59a0d7b143ba
4.196194488411115,6.365104110875544e-05,1,0.0032825069385204733,True,v4,holm,014d59a0d7b143ba
4.248280852788517,5.6457175526812105e-05,1,0.0032918965471917527,True,v4,holm,014d59a0d7b143ba
4.303745476580241,4.968834405546439e-05,1,0.0032981314420563058,True,v4,holm,014d59a0d7b143ba
4.378569550296519,4.1824470329085355e-05,1,0.003303054492495768,True,v4,holm,014d59a0d7b143ba
4.523914604847482,2.9928530622714024e-05,1,0.0033063197901085513,True,v4,holm,014d59a0d7b143ba
4.566761350233035,2.7116813223409866e-05,1,0.0033092205030269134,True,v4,holm,014d59a0d7b143ba
4.596687390050347,2.531119268398702e-05,1,0.0033112630697900887,True,v4,holm,014d59a0d7b143ba
4.620381907766213,2.3967243722486365e-05,1,0.003314134638948714,True,v4,holm,014d59a0d7b143ba
4.646609192409282,2.2562686422534293e-05,1,0.0033159707217899907,True,v4,holm,014d59a0d7b143ba
4.672733771356357,2.1245464398309125e-05,1,0.0033178044694322927,True,v4,holm,014d59a0d7b143ba
4.696038132850837,2.013547444310977e-05,1,0.0033200429883914768,True,v4,holm,014d59a0d7b143ba
4.717398947412467,1.9169070409601156e-05,1,0.003322164485694203,True,v4,holm,014d59a0d7b143ba
4.732738060617207,1.8503843190596374e-05,1,0.0033239589668343553,True,v4,holm,014d59a0d7b143ba
4.745262840062637,1.797782546945688e-05,1,0.0033255006325553756,True,v4,holm,014d59a0d7b143ba
4.760653890701518,1.7351862968435637e-05,1,0.0033270781702369454,True,v4,holm,014d59a0d7b143ba
4.778858524821184,1.6639546096783724e-05,1,0.003327870274627379,True,v4,holm,014d59a0d7b143ba
4.801430810772553,1.5796802530047766e-05,1,0.0033286450765163643,True,v4,holm,014d59a0d7b143ba
4.819692953309663,1.514631716318651e-05,1,0.0033306169577592554,True,v4,holm,014d59a0d7b143ba
4.833170444243081,1.4683498924628765e-05,1,0.00333192114544535,True,v4,holm,014d59a0d7b143ba
4.84941046154418,1.4144563133466975e-05,1,0.0033333578728455635,True,v4,holm,014d59a0d7b143ba
4.861116751292008,1.3768392837297515e-05,1,0.0033352950503631566,True,v4,holm,014d59a0d7b143ba
4.8724099925105016,1.3414979319140392e-05,1,0.00333675514870769,True,v4,holm,014d59a0d7b143ba
4.884619531678158,1.3043089318593014e-05,1,0.0033381195263789106,True,v4,holm,014d59a0d7b143ba
4.899081560182362,1.2615905865633444e-05,1,0.0033392872827415904,True,v4,holm,014d59a0d7b143ba
4.912110725867061,1.2243040161450169e-05,1,0.003340827038036824,True,v4,holm,014d59a0d7b143ba
4.927079012902127,1.1828263399030002e-05,1,0.003342225120357557,True,v4,holm,014d59a0d7b143ba
4.936912459362618,1.156345302955211e-05,1,0.0033431457599887677,True,v4,holm,014d59a0d7b143ba
4.947734648951832,1.127886376787102e-05,1,0.0033445264402982996,True,v4,holm,014d59a0d7b143ba
4.957101978325441,1.1038193974724744e-05,1,0.0033453718378285294,True,v4,holm,014d59a0d7b143ba
4.969436544199495,1.0729104018760722e-05,1,0.0033467043918788955,True,v4,holm,014d59a0d7b143ba
4.9799889487073195,1.0471551941902752e-05,1,0.0033483190861137145,True,v4,holm,014d59a0d7b143ba
4.986981679754443,1.0304295870885317e-05,1,0.0033493702403093266,True,v4,holm,014d59a0d7b143ba
4.996592583920978,1.0078767249252493e-05,1,0.003350701662772579,True,v4,holm,014d59a0d7b143ba
5.003082592944993,9.929271982662958e-06,1,0.003351790791975139,True,v4,holm,014d59a0d7b143ba
5.011638154539105,9.735580350030017e-06,1,0.003352741457880747,True,v4,holm,014d59a0d7b143ba
5.017854334005568,9.597224764679062e-06,1,0.0033539089789270133,True,v4,holm,014d59a0d7b143ba
5.0266375557942276,9.405078921029296e-06,1,0.0033549880102955016,True,v4,holm,014d59a0d7b143ba
5.037253426914233,9.177968717260202e-06,1,0.0033565002667828013,True,v4,holm,014d59a0d7b143ba
5.044743106260636,9.021045924490307e-06,1,0.0033577139913457134,True,v4,holm,014d59a0d7b143ba
5.054334919290592,8.823991492391204e-06,1,0.0033584739686323994,True,v4,holm,014d59a0d7b143ba
5.064523348427947,8.619392381050383e-06,1,0.003359492554885206,True,v4,holm,014d59a0d7b143ba
5.071422243806334,8.483552585956691e-06,1,0.0033603832365251504,True,v4,holm,014d59a0d7b143ba
