family,group,seed,phi,z_contact,N,E,d_cv,ov_med,frac_type2,G_eff,err_I1,lift,eta_g,eta_far,eta_rnd,rho_g,jaccard_g,share_gap,share_contact,share_bond,top20_share,H,frac_sat,engine_version,engine_variant,baseline_fp
poly_wide,high loading,2,0.6400000000000007,4.06,900,2851,0.5319866138708416,0.01150901931059698,0.0,0.0012773685093622172,1.7763568394002505e-15,23.714830799669233,0.43962848259491155,0.12093542296105396,0.04216770545181152,0.5291680509161736,0.14285714285714285,0.10007430205433956,0.8999256979456604,0.0,0.12720806568409512,6.761652537855596,0.0,v4,holm,014d59a0d7b143ba
voided,poor dispersion,0,0.6000000000000005,5.637777777777778,900,3515,0.0,0.016126387754678007,0.0,0.0011609098479906756,2.220446049250313e-16,5.699547615590421,0.29620897509874966,0.0944369824786534,0.17545252140093037,0.3214366211907214,0.1111111111111111,0.05959721036678164,0.9404027896332182,0.0,0.04089916777619749,7.407771330414629,0.0,v4,holm,014d59a0d7b143ba
voided,poor dispersion,1,0.6000000000000005,5.6,900,3536,0.0,0.016343276893911973,0.0,0.0011777542481557779,1.1102230246251565e-15,6.303944703694144,0.30251886430578284,0.05444349782854389,0.15863083307409007,0.3804113767737521,0.08108108108108109,0.06265101733069466,0.9373489826693053,0.0,0.04053766740058251,7.432587443563692,0.0,v4,holm,014d59a0d7b143ba
voided,poor dispersion,2,0.6000000000000005,5.58,900,3478,0.0,0.0175281679340328,0.0,0.0011788979754902666,2.220446049250313e-16,6.361739038319256,0.2752512612527734,0.06325964438801104,0.15718972343514984,0.34448009024537646,0.0,0.055482877068685744,0.9445171229313143,0.0,0.04037590111271168,7.390759551690777,0.0,v4,holm,014d59a0d7b143ba
clustered,poor dispersion,0,0.6000000000000005,6.248888888888889,900,3834,0.0,0.02146819876689472,0.0,0.0014023586555134793,3.3306690738754696e-16,5.966961757754245,0.13208229198218124,0.06146366172018643,0.16758947695625334,0.42049075954669074,0.02564102564102564,0.05473141023997748,0.9452685897600226,0.0,0.0336197023089588,7.560449819533343,0.0,v4,holm,014d59a0d7b143ba
clustered,poor dispersion,1,0.6000000000000005,6.2155555555555555,900,3843,0.0,0.021400324227581535,0.0,0.0014019442884892549,2.220446049250313e-15,6.0697298730736495,0.3937212892185655,0.03402483908798369,0.1647519775857192,0.42361082857667914,0.05263157894736842,0.0548486994455457,0.9451513005544543,0.0,0.03652605774086096,7.545622153755892,0.0,v4,holm,014d59a0d7b143ba
clustered,poor dispersion,2,0.6000000000000005,6.295555555555556,900,3853,0.0,0.02299063978744975,0.0,0.0014361995112782907,2.220446049250313e-15,7.629869126775043,0.3011606976746266,0.04722362464929114,0.13106384701813034,0.42088406365545894,0.05263157894736842,0.05094859993417129,0.9490514000658287,0.0,0.03969916099276338,7.5438572947961156,0.0,v4,holm,014d59a0d7b143ba
stratified,process segregation,0,0.6000000000000005,5.328888888888889,900,3397,0.0,0.015026704376410205,0.0,0.0007428966089112954,3.3306690738754696e-16,15.636507184261886,1.4674954965117894e-07,0.047980843242956074,0.06395290125959191,-0.0982193081771109,0.0,0.10152755204113646,0.8984724479588634,0.0,0.10449644430366775,6.981954664976756,0.0,v4,holm,014d59a0d7b143ba
stratified,process segregation,1,0.6000000000000005,5.373333333333333,900,3400,0.0,0.01722361053901551,0.0,0.0008183012041822505,1.1102230246251565e-16,16.337087128757698,8.282545556347399e-08,0.013349524428037097,0.061210422159023024,-0.05613179246000648,0.0,0.09308243244588528,0.9069175675541147,0.0,0.09914376374851464,7.037489632777746,0.0,v4,holm,014d59a0d7b143ba
stratified,process segregation,2,0.6000000000000005,5.42,900,3381,0.0,0.01870963311474334,0.0,0.0008050032781066813,1.2212453270876722e-15,16.56133915647337,2.598610319209527e-08,0.02283162975036663,0.060381590555684476,-0.0760240103753146,0.0,0.08533937404110117,0.9146606259588989,0.0,0.10305664095766273,6.96171941533873,0.0,v4,holm,014d59a0d7b143ba
segregated,process segregation,0,0.6600000000000006,3.937777777777778,900,2731,0.46774689538794956,0.016335043451640628,0.0,0.0003235221074147209,1.1102230246251565e-15,95.99502718484267,0.0001521313293585077,0.004413376524718095,0.01041720627959671,0.2994950611339711,0.0,0.17325763208147665,0.8267423679185233,0.0,0.40650866854908857,5.3220279837631175,0.0,v4,holm,014d59a0d7b143ba
segregated,process segregation,1,0.6600000000000006,4.206666666666667,900,2846,0.46774689538794956,0.020226558364909674,0.0,0.00045119897836812283,2.220446049250313e-16,137.18319743453227,0.0029533374832673392,0.004545492611465483,0.007289522468502226,0.290037302761639,0.0,0.12241570155341774,0.8775842984465823,0.0,0.39516046816061307,5.4566926155985715,0.0,v4,holm,014d59a0d7b143ba
segregated,process segregation,2,0.6600000000000006,4.051111111111111,900,2796,0.46774689538794956,0.01844772223169091,0.0,0.0003063291666658219,1.1102230246251565e-15,63.196808706604834,0.0004880426241090569,0.0032113408482489824,0.015823583824344088,0.30891575911177815,0.0,0.181175621547011,0.818824378452989,0.0,0.3605433178050113,5.3642986862767685,0.0,v4,holm,014d59a0d7b143ba
fiber_z,anisotropy,0,0.6960000000000007,6.203065134099617,1044,4793,1.6493059200777426e-16,0.023683015667551023,0.13793103448275862,0.003558863513990515,3.552713678800501e-15,38.26511144059103,0.14152816425180204,0.0012648119983985136,0.02613346629220099,0.3761179920432929,0.08108108108108109,0.04726617410042577,0.6750683920268151,0.27766543387275916,0.16798180789497663,6.999393508904834,0.0,v4,holm,014d59a0d7b143ba
fiber_z,anisotropy,1,0.6960000000000007,6.329501915708812,1044,4892,1.6493059200777426e-16,0.02152476971416508,0.13793103448275862,0.0032577774641084473,1.7763568394002505e-15,76.14673808857778,0.08323543033323476,0.007585468808015,0.013132538899259858,0.3238929237551207,0.02564102564102564,0.054897430505497495,0.6904290807224689,0.25467348877203366,0.1908386348185484,6.809424396748589,0.0,v4,holm,014d59a0d7b143ba
fiber_z,anisotropy,2,0.6960000000000007,6.505747126436781,1044,4872,1.6493059200777426e-16,0.023658776115919,0.13793103448275862,0.003926819750558912,2.220446049250313e-16,58.4852412056825,0.03577760353856653,0.0037676522282722876,0.017098330782003148,0.366746908784296,0.08108108108108109,0.03278475184098182,0.6114604646144808,0.3557547835445372,0.22642040846025224,6.732523624659999,0.0,v4,holm,014d59a0d7b143ba
fiber_xy,anisotropy,0,0.6960000000000007,6.471264367816092,1044,4871,1.6493059200777426e-16,0.02333855950225443,0.13793103448275862,0.0016735328752777467,5.551115123125783e-16,11.48071203724728,0.006406624165514979,0.02675570528889602,0.08710261147180286,0.23185827305902723,0.0,0.0562326961241023,0.933265472647801,0.010501831228096576,0.04687888019223653,7.524458268346768,0.0,v4,holm,014d59a0d7b143ba
fiber_xy,anisotropy,1,0.6960000000000007,6.2988505747126435,1044,4840,1.6493059200777426e-16,0.0210300852558432,0.13793103448275862,0.0016421392617315116,1.1102230246251565e-15,14.597147074244829,0.007224918763079124,0.023152494297988793,0.0685065372646959,0.23906221731880067,0.0,0.060866341911981446,0.9306542654291053,0.008479392658913228,0.05348893670222638,7.477621107509293,0.0,v4,holm,014d59a0d7b143ba
fiber_xy,anisotropy,2,0.6960000000000007,6.319923371647509,1044,4811,1.6493059200777426e-16,0.022300959437357902,0.13793103448275862,0.0016429839916080066,3.4416913763379853e-15,19.000495518451498,0.004043405746333229,0.022179585874807787,0.05263020635587603,0.21207037558124292,0.0,0.06181774156496929,0.9278298280306925,0.010352430404338284,0.05498194767701343,7.518104672075815,0.0,v4,holm,014d59a0d7b143ba
