step,label,filler,matrix,treat,alpha,a_K_um,d_um,phi,phi_source,n_particle,n_edge,edge_per_particle,n_isolated,R_median,R_p05,R_p95,R_decades,n_gap,frac_gap,n_contact,frac_contact,n_bond,frac_bond,z_contact,h_median_um,h_p05_um,h_p95_um,rt_median_um,twoaK_over_h,gain_interface,gain_matrix,gain_filler,G_eff,box_source,k_eff,slab_L_um,slab_A_um2,share_gap,share_contact,share_bond,cum_top1pct,cum_top5pct,n_for_half,frac_for_half,Reff_median,Reff_max,Reff_p95_over_p50,g_star,theta_star,g_allconn,theta_allconn,n_bars,bar_max,bar_zero_frac,ret10_mean,ret10_std,ret10_p05,gain_top_pct,gain_rand_pct,gain_ratio,d_B,dlog_g_inf,compress,engine_version,engine_variant,baseline_fp,q24_schema_version,persistence_tau,family,n_target,seed,d_min_um,d_max_um,size_ratio,kappa_filler,k_matrix,R_s_contact,R_s_matrix
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,5.0,0.7000000000000004,generator,2000,6289,3.1445,5,600321.775694513,299400.6957425449,1190235.508070533,0.5993800971323093,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.1847594569228821,0.0072154427763704,0.5888742569583697,0.7931763185685631,0.2403127115212262,1.0814075523757969,2.090443462982829,23.07290828270032,7.177570941559748e-05,bbox,1.328883492499464,54.01204080020313,2917.300551402808,0.3572829248747013,0.6427170751252987,0.0,0.289876420711841,0.5371054337773781,262,0.0416600413420257,114483.67981977128,2518132.772249428,2.815018029638645,3.717148162904772e-06,5.429790127887446,,,1509,0.4777997328087995,0.9721669980119284,0.8731108833652682,0.0159567023779973,0.8511089920290942,62.538037653620535,1.431440657015164,43.68887899553215,0.0683182359548748,0.1478600336775501,8.792098633191248,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,5.0,0.7000000000000004,generator,2000,6289,3.1445,5,548142.1875918257,282813.82593803335,1149150.692882674,0.6088763462275165,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.1847594569228821,0.0072154427763704,0.5888742569583697,0.7931763185685631,0.0822692165568161,1.0319917500260358,2.1467347374836185,98.6699408388872,7.52126111833738e-05,bbox,1.3925156329788402,54.01204080020313,2917.300551402808,0.3550665083303906,0.6449334916696093,0.0,0.2865035107757857,0.5320277956094085,269,0.0427730958816982,106900.6169903416,2390911.029078,2.817926890623976,3.9310827546064005e-06,5.405487813597714,,,1509,0.4634592438423642,0.9695162359178264,0.8730747649992461,0.0157332738376244,0.8512515365709318,62.65323974843457,1.4270176289121872,43.90502154916967,0.0381096083991838,0.0803573160071068,16.177742918703593,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,2e-09,3.8e-08
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,5.0,0.7000000000000004,generator,2000,6289,3.1445,5,177465.0346928546,15213.14485120315,882746.8710050489,1.7636171864319674,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.1847594569228821,0.0072154427763704,0.5888742569583697,0.7931763185685631,0.2403127115212262,2.5502892795321705,2.477001670545736,1.7611281945603603,0.0009404502971786,bbox,17.411863785289807,54.01204080020313,2917.300551402808,0.081235563655932,0.918764436344068,0.0,0.4966825457968745,0.8434745105262765,63,0.0100174908570519,16425.0806316033,1588937.4359556742,7.809585671336504,0.0001175839638547,3.929651903466191,,,1509,0.881248380615175,0.9310801855533466,0.8604731825619414,0.0242556272633939,0.819345573641151,84.8807877435448,1.339563321298516,63.36452065682492,0.4630378775132526,0.5267438610484474,2.4679926927148985,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,5.0,0.7000000000000004,generator,2000,6289,3.1445,5,70919.92819508491,7148.394488575971,841423.3211229037,2.070806033569668,2624,0.4172364445857847,3665,0.5827635554142153,0,0.0,3.665,0.1847594569228821,0.0072154427763704,0.5888742569583697,0.7931763185685631,0.0822692165568161,1.4411594129611092,2.9747962371812564,4.461730488576473,0.0016642297092585,bbox,30.812198254362954,54.01204080020313,2917.300551402808,0.0481111572994129,0.9518888427005872,0.0,0.4893268068949026,0.8317532008212446,65,0.0103355064398155,6990.495738232488,1423567.114427191,12.322441637166088,0.0002159713289343,3.665603899368009,,,1509,0.8327728060984037,0.927766732935719,0.8589559355517464,0.0261077206522444,0.8152171240785925,77.95861163585536,1.2431759634550898,62.70923338896396,0.2716426514565357,0.4407565310622715,2.9494741617710294,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,0,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,2e-09,3.8e-08
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,5.0,0.7000000000000004,generator,2000,6201,3.1005,4,599121.1072985376,292762.21196839807,1192429.102386223,0.609917547051361,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,0.2011657880657686,0.0058454782040485,0.6380691734871962,0.7931763185685631,0.2207134885371953,1.081758828006843,2.1565750445625844,21.548573850608605,7.282414888581789e-05,bbox,1.348294709974077,54.01204080020313,2917.300551402808,0.4092165537557051,0.5907834462442948,0.0,0.2703878239960859,0.5138998189407421,289,0.0466053862280277,122960.83728081745,3050125.560928207,2.50166832112268,3.720035236111301e-06,5.42945294646858,,,1516,0.433625847150155,0.9709762532981532,0.8811352619182667,0.011872096059171,0.8673773718694808,54.49338012167932,1.09073189733652,49.96038004824816,0.1476888947822239,0.1478600564385203,8.79209727977167,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,5.0,0.7000000000000004,generator,2000,6201,3.1005,4,547217.2225515607,276754.610177619,1151365.834579963,0.6191184740475407,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,0.2011657880657686,0.0058454782040485,0.6380691734871962,0.7931763185685631,0.0755595726523731,1.0321957571799711,2.2171229402797565,91.08805122312296,7.63209550139457e-05,bbox,1.4130359431569317,54.01204080020313,2917.300551402808,0.4071665644909197,0.5928334355090803,0.0,0.2669119777410775,0.5085381182532573,297,0.0478955007256894,114543.3825258246,2840154.795309088,2.4750440955078057,3.934202809492622e-06,5.405143255811387,,,1516,0.4140545092181329,0.966358839050132,0.8810203490705298,0.0117395390817484,0.8677203937960393,54.62182309753738,1.086288231661492,50.28299258475128,0.0803573160071069,0.0803573160071068,16.177742918703593,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,2e-09,3.8e-08
0,AlN/epoxy/untreated,AlN,epoxy,untreated,850.0,0.0222,5.0,0.7000000000000004,generator,2000,6201,3.1005,4,173525.8380952472,13789.06057242271,884952.2408729751,1.8073851539478272,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,0.2011657880657686,0.0058454782040485,0.6380691734871962,0.7931763185685631,0.2207134885371953,2.505535762497987,2.736375394475753,1.816528010207263,0.0008639846156252,bbox,15.996148318506286,54.01204080020313,2917.300551402808,0.098730200470672,0.9012697995293278,0.0,0.5678617523315574,0.8221471975565525,48,0.00774068698597,18375.802231369154,1866782.7904809297,6.142490052466762,0.000117903190847,3.928474441312709,,,1516,0.8031324407362991,0.9175461741424802,0.8698302797287096,0.0333011315439624,0.8132344281473104,112.26781840683417,1.5141000803283269,74.1482150786818,0.4476723165198164,0.5267438979549355,2.4679925197941617,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,1e-08,1.11e-07
0,AlN/epoxy/treated,AlN,epoxy,treated,850.0,0.0076,5.0,0.7000000000000004,generator,2000,6201,3.1005,4,70368.35626957391,6650.265125761839,843652.2832919178,2.1033245265994074,2598,0.4189646831156265,3603,0.5810353168843735,0,0.0,3.603,0.2011657880657686,0.0058454782040485,0.6380691734871962,0.7931763185685631,0.0755595726523731,1.4378121779576982,3.411702202804493,4.620384174833944,0.0015055821517467,bbox,27.87493546700138,54.01204080020313,2917.300551402808,0.0641499983930224,0.9358500016069776,0.0,0.5568730787734779,0.8030368238105987,49,0.0079019512981777,7712.52994195044,1576593.69376444,8.749918751832162,0.0002164203724225,3.664701859950605,,,1516,0.871001472657521,0.91622691292876,0.8677250422415925,0.0294384350925362,0.8161261390144428,104.2061811061088,1.264062717415525,82.43750857486444,0.2554769754309234,0.4407565214745337,2.949474225930681,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,1,3.1727052742742523,15.86352637137126,5.0,170.0,0.2,2e-09,3.8e-08
0,SiO2/epoxy/untreated,SiO2,epoxy,untreated,6.999999999999999,0.0222,5.0,0.7000000000000004,generator,2000,6141,3.0705,1,603723.0541633717,303192.7351302542,1174863.964865688,0.5882687925783487,2519,0.410193779514737,3622,0.589806220485263,0,0.0,3.622,0.1892022832894753,0.0055030867130256,0.6159681107774833,0.7931763185685631,0.23466947241894,1.0809986118561936,2.1028133414650205,31.269599820997417,7.221606062338945e-05,bbox,1.3370363265947516,54.01204080020313,2917.300551402808,0.3509846696538183,0.6490153303461815,0.0,0.3025709459608569,0.5127402300203995,288,0.0468978993649242,126152.57454637862,3162676.9455919154,2.7156397987443066,4.064702091847519e-06,5.390971279001732,,,1505,0.4335208816041477,0.9674418604651164,0.8766832136041071,0.0151490032571299,0.856456268623125,66.55428792924829,0.7991475323503616,83.28160350255528,0.0957002705861782,0.1478571740282436,8.79226867782333,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,1e-08,1.11e-07
0,SiO2/epoxy/treated,SiO2,epoxy,treated,6.999999999999999,0.0076,5.0,0.7000000000000004,generator,2000,6141,3.0705,1,550616.8169345113,286234.7414225014,1133623.2657478363,0.5977464058775077,2519,0.410193779514737,3622,0.589806220485263,0,0.0,3.622,0.1892022832894753,0.0055030867130256,0.6159681107774833,0.7931763185685631,0.0803372968641416,1.03188509828689,2.1646380898037227,139.05776784421246,7.565324997638695e-05,bbox,1.4006737915391343,54.01204080020313,2917.300551402808,0.3492665726634352,0.6507334273365647,0.0,0.297864859726105,0.5080348795051862,295,0.0480377788633773,117293.28366029776,2996625.461285881,2.73395149663906,4.322169715882389e-06,5.364298183953449,,,1505,0.4140728031977422,0.9654485049833889,0.8765045581117057,0.0149662643814635,0.8566334482457503,66.38828933779703,0.8002607297106435,82.95832454730294,0.0803573160071069,0.0803573160071068,16.177742918703593,v4,holm,014d59a0d7b143ba,1.1,0.005,bimodal_5to1,2000,2,3.1727052742742523,15.86352637137126,5.0,1.4,0.2,2e-09,3.8e-08
