family,seed,phi,N,E,G_eff,g_star,theta_star,g_allconn,theta_allconn,crit_u,crit_v,engine_version,engine_variant,baseline_fp
phi_050,0,0.5000000000000003,900,2835,0.00038854957754369486,6.551563138862385e-05,4.183655069230972,1.3994710715222529e-05,4.854036074409755,500,804,v4,holm,014d59a0d7b143ba
phi_050,1,0.5000000000000003,900,2838,0.0003992132593000194,7.12121877181804e-05,4.147445672012265,1.5363441626129687e-05,4.8135114853585526,269,662,v4,holm,014d59a0d7b143ba
phi_050,2,0.5000000000000003,900,2841,0.0003695055298917752,6.646980575311653e-05,4.177375590376948,1.2385778776427288e-05,4.907076681232221,2,301,v4,holm,014d59a0d7b143ba
phi_055,0,0.5500000000000005,900,3135,0.0006881349902863642,0.00012972020702188328,3.8869923669032445,1.677139269742891e-05,4.775430872057323,185,647,v4,holm,014d59a0d7b143ba
phi_055,1,0.5500000000000005,900,3165,0.0006953054504853464,0.00010177895827388312,3.992341998522849,2.7469239999487857e-05,4.561153356181718,372,815,v4,holm,014d59a0d7b143ba
phi_055,2,0.5500000000000005,900,3125,0.0006982315793852787,9.924066268539246e-05,4.003310344363066,1.9903603653544796e-05,4.701068285140011,293,885,v4,holm,014d59a0d7b143ba
phi_060,0,0.6000000000000005,900,3514,0.0011658229035501956,0.0001277941096611151,3.8934891633969366,4.4172145130324116e-05,4.354851509601892,107,242,v4,holm,014d59a0d7b143ba
phi_060,1,0.6000000000000005,900,3454,0.0011643029198126615,0.0001286101149243703,3.8907248736894813,2.8759753505816807e-05,4.541214840525676,23,792,v4,holm,014d59a0d7b143ba
phi_060,2,0.6000000000000005,900,3479,0.001217441716771071,0.0001369527497132259,3.8634292436342443,1.3416054523688045e-05,4.872375185398338,415,495,v4,holm,014d59a0d7b143ba
phi_064,0,0.6400000000000007,900,3775,0.0015695589109995522,0.00014147548798703615,3.8493187993914924,5.5500354867185015e-05,4.255704240005836,8,793,v4,holm,014d59a0d7b143ba
phi_064,1,0.6400000000000007,900,3708,0.0014571966776134788,0.00015646315556420032,3.805587915108147,6.190761890295597e-05,4.208255899543768,183,569,v4,holm,014d59a0d7b143ba
phi_064,2,0.6400000000000007,900,3708,0.0015269399214475458,0.00014532147977339485,3.837670188471394,3.7279405413426815e-05,4.428531023027472,139,544,v4,holm,014d59a0d7b143ba
bimodal_3to1,0,0.6600000000000006,900,3026,0.0013418038968014093,0.00019321467677056248,3.713959887245721,1.5362663712123462e-05,4.813533476024578,18,286,v4,holm,014d59a0d7b143ba
bimodal_3to1,1,0.6600000000000006,900,3044,0.0013222355206220114,0.000200678124378217,3.6974999667234028,4.561673312561968e-06,5.3408758202500515,79,247,v4,holm,014d59a0d7b143ba
bimodal_3to1,2,0.6600000000000006,900,3002,0.00133273542113219,0.0002029860076720608,3.692533898048621,,,565,855,v4,holm,014d59a0d7b143ba
bimodal_5to1,0,0.7000000000000008,900,2666,0.0015596145357289954,0.00021265936154043233,3.6723154943237524,,,117,218,v4,holm,014d59a0d7b143ba
