family,label,filler,matrix,treat,seed,phi,z_contact,n_edges,frac_overlap,n_contact,n_gap,n_bond,G_eff,tau_G2_C,tau_G1_C,rho_G2_C,nbars_G1,maxpers_G1,tstar_G1,crit_G1,critrank_G1,nbars_G2,maxpers_G2,tstar_G2,crit_G2,critrank_G2,nbars_C,maxpers_C,tstar_C,crit_C,critrank_C,crit_same_G2_C,crit_same_G1_C,pair_jaccard_G2_C,pair_same_G2_C,nbars_abs,maxpers_abs,ncomp_end,pair_jac_abs_rel,diag_same_abs_rel,diag_maxdiff_abs_rel,eng_nbars_rel,eng_maxpers_rel,eng_medpers_rel,eng_tstar_rel,eng_nbars_leg,eng_maxpers_leg,eng_medpers_leg,eng_tstar_leg,engine_version,engine_variant,baseline_fp
coat_mix,30% low-kappa coated particles,AlN,epoxy,untreated,0,0.6000000000000005,5.506666666666667,3482,0.7116599655370477,2478,1004,0,0.0015795906676789007,0.6876319318410388,0.6482117970117255,0.8022045335712467,901,1.0,0.0,"(113, 860)",3060,901,19.724269135340517,18.724269135340517,"(153, 771)",988,901,4.427333783352646,3.427333783352646,"(217, 376)",188,0,0,0.621962196219622,0,901,4.427333783352646,1,0.8238866396761133,1,0.0,901,3.299750762460256,0.0,4.68328860286552,527,0.8730650328295824,0.0,4.68328860286552,v4,holm,014d59a0d7b143ba
coat_mix,30% low-kappa coated particles,AlN,epoxy,untreated,1,0.6000000000000005,5.615555555555556,3501,0.7217937732076549,2527,974,0,0.0016297547248914882,0.6801491818664056,0.636483824441943,0.795277985844299,901,1.0,0.0,"(89, 895)",2797,901,20.078939167401803,19.078939167401803,"(371, 382)",1085,901,4.371112863406859,3.371112863406859,"(124, 576)",163,0,0,0.603202846975089,0,901,4.371112863406859,1,0.8238866396761133,1,0.0,901,3.240448374080234,0.0,4.762526095527268,581,0.3305802199995784,0.0,4.762526095527268,v4,holm,014d59a0d7b143ba
clustered,agglomerated,AlN,epoxy,untreated,0,0.6000000000000005,6.248888888888889,3834,0.7334376630151278,2812,1022,0,0.004303337734409471,0.9999999999999998,0.679794234084948,0.9999999999999998,901,1.0,0.0,"(70, 273)",802,901,20.005611480301088,19.005611480301088,"(345, 727)",792,901,4.275859764235872,3.2758597642358724,"(345, 727)",792,1,0,1.0,1,901,4.275859764235872,1,0.8482051282051282,1,0.0,901,3.191986514196391,0.0,4.043354274577974,493,0.1468446258218595,0.0,4.043354274577974,v4,holm,014d59a0d7b143ba
clustered,agglomerated,AlN,epoxy,untreated,1,0.6000000000000005,6.2155555555555555,3843,0.7278168097840229,2797,1046,0,0.004311311509816932,1.0,0.6858091957334748,1.0,901,1.0,0.0,"(68, 788)",728,901,19.89441271556257,18.89441271556257,"(15, 608)",114,901,4.251157204657044,3.2511572046570443,"(15, 608)",114,1,0,1.0,1,901,4.251157204657044,1,0.8539094650205762,1,0.0,901,3.184854354657419,0.0,4.118037536388623,516,0.1161768994686407,0.0,4.118037536388623,v4,holm,014d59a0d7b143ba
voided,spherical void,AlN,epoxy,untreated,0,0.6000000000000005,5.637777777777778,3515,0.7217638691322902,2537,978,0,0.0033682544943200747,0.9999999999999998,0.692180659934691,1.0,901,1.0,0.0,"(78, 255)",469,901,19.822490598617833,18.822490598617833,"(52, 466)",37,901,4.236673947060364,3.236673947060364,"(52, 466)",37,1,0,1.0,1,901,4.236673947060364,1,0.8128772635814889,1,0.0,901,3.1506707039941912,0.0,4.529297495944888,599,0.12291735397663862,0.0,4.529297495944888,v4,holm,014d59a0d7b143ba
voided,spherical void,AlN,epoxy,untreated,1,0.6000000000000005,5.6,3536,0.7126696832579186,2520,1016,0,0.003434495135032278,1.0,0.7015410533027343,0.9999999999999999,901,1.0,0.0,"(82, 581)",2657,901,20.21693310280516,19.21693310280516,"(254, 489)",406,901,4.333101547693338,3.333101547693338,"(254, 489)",406,1,0,1.0,1,901,4.333101547693338,1,0.8294416243654822,1,0.0,901,3.2593958548581012,0.0,4.17874072927961,530,0.1213279544125756,0.0,4.17874072927961,v4,holm,014d59a0d7b143ba
stratified,stratified,AlN,epoxy,untreated,0,0.6000000000000005,5.328888888888889,3397,0.7059169855755077,2398,999,0,0.0017541527651573651,0.9999999999999998,0.7083377299611713,1.0,901,1.0,0.0,"(131, 333)",105,901,20.66035161508458,19.66035161508458,"(413, 720)",37,901,4.548628002296437,3.5486280022964367,"(413, 720)",37,1,0,1.0,1,901,4.548628002296437,1,0.7,1,0.0,901,3.7138025043109915,0.0,4.672268743140157,655,0.12296745652167466,0.0,4.672268743140157,v4,holm,014d59a0d7b143ba
stratified,stratified,AlN,epoxy,untreated,1,0.6000000000000005,5.373333333333333,3400,0.7111764705882353,2418,982,0,0.0020500100358190766,0.9999999999999998,0.7030565116284537,1.0,901,1.0,0.0,"(89, 171)",36,901,20.018302649002678,19.018302649002678,"(422, 565)",70,901,4.278882272496656,3.2788822724966553,"(422, 565)",70,1,0,1.0,1,901,4.278882272496656,1,0.724401913875598,1,0.0,901,3.4448803938959784,0.0,4.636443163068606,640,0.10378450991572297,0.0,4.636443163068606,v4,holm,014d59a0d7b143ba
fiber_z,fibres along the heat flow,AlN,epoxy,untreated,0,0.6960000000000007,6.203065134099617,4793,0.7006050490298352,3238,1435,120,0.0075654254126002185,0.9878191888192087,0.713799783025644,0.9973279872921906,1045,1.0,0.0,"(83, 328)",2736,1045,17.771779771833284,16.771779771833284,"(203, 997)",1797,1045,3.9219334512701165,2.9219334512701165,"(37, 1023)",3573,0,0,0.7666948436179205,0,1045,3.9219334512701165,1,0.8462897526501767,1,0.0,1045,3.3942597402392187,0.0,4.184625392021473,563,0.12751362943687897,0.0,4.184625392021473,v4,holm,014d59a0d7b143ba
fiber_z,fibres along the heat flow,AlN,epoxy,untreated,1,0.6960000000000007,6.329501915708812,4892,0.6999182338511856,3304,1468,120,0.006862730930910913,0.987931351592091,0.7144549691610286,0.9973348815789846,1045,1.0,0.0,"(115, 655)",726,1045,18.868416015800406,17.868416015800406,"(711, 960)",3,1045,4.107428252616901,3.1074282526169013,"(711, 960)",3,1,0,0.7666948436179205,0,1045,4.107428252616901,1,0.8414096916299559,1,0.0,1045,3.579754541586003,0.0,4.358759432786681,614,0.17055473186804457,0.0,4.358759432786681,v4,holm,014d59a0d7b143ba
phi_060,"monodisperse, low-kappa filler",SiO2,epoxy,untreated,0,0.6000000000000005,5.651111111111111,3514,0.7236767216846898,2543,971,0,0.00018047726620974485,1.0,0.6901803568535431,0.9999999999999999,901,1.0,0.0,"(58, 538)",1391,901,20.235295394776088,19.235295394776088,"(107, 242)",284,901,5.894060030697644,4.894060030697644,"(107, 242)",284,1,0,1.0,1,901,5.894060030697644,1,0.8313008130081301,1,0.0,901,3.023358872967304,0.0,4.942422636268585,535,0.011068381197688482,0.0,4.942422636268585,v4,holm,014d59a0d7b143ba
phi_060,"monodisperse, low-kappa filler",SiO2,epoxy,untreated,1,0.6000000000000005,5.471111111111111,3454,0.7127967573827446,2462,992,0,0.00017864638242181085,1.0,0.701412909439408,0.9999999999999999,901,1.0,0.0,"(92, 237)",446,901,20.221044214915924,19.221044214915924,"(23, 792)",1068,901,5.893553465391158,4.893553465391158,"(23, 792)",1068,1,0,1.0,1,901,5.893553465391158,1,0.8220424671385238,1,0.0,901,3.031199478538653,0.0,4.954103453092843,587,0.011074838058850336,0.0,4.954103453092843,v4,holm,014d59a0d7b143ba
phi_060,"monodisperse, high-kappa matrix with surface treatment",AlN,high_k_resin,treated,0,0.6000000000000005,5.651111111111111,3514,0.7236767216846898,2543,971,0,0.0061977648065774035,1.0,0.6901803568535431,0.9999999999999999,901,1.0,0.0,"(58, 538)",1253,901,20.235295394776088,19.235295394776088,"(107, 242)",152,901,4.156675229355844,3.1566752293558444,"(107, 242)",152,1,0,1.0,1,901,4.156675229355844,1,0.8313008130081301,1,0.0,901,3.1141193170930097,0.0,3.66699379886199,535,0.06611193913360047,0.0,3.66699379886199,v4,holm,014d59a0d7b143ba
phi_060,"monodisperse, high-kappa matrix with surface treatment",AlN,high_k_resin,treated,1,0.6000000000000005,5.471111111111111,3454,0.7127967573827446,2462,992,0,0.006195884963793796,1.0,0.701412909439408,0.9999999999999999,901,1.0,0.0,"(92, 237)",600,901,20.221044214915924,19.221044214915924,"(23, 792)",807,901,4.153742588409214,3.1537425884092145,"(23, 792)",807,1,0,1.0,1,901,4.153742588409214,1,0.8220424671385238,1,0.0,901,3.145033305566454,0.0,3.8860904093279167,587,0.06793285174582103,0.0,3.8860904093279167,v4,holm,014d59a0d7b143ba
