lattice,z,phi,phi_rel,filler,kappa,matrix,k_m,iface,R_s,d_um,alpha,alpha_N,a_K_um,a_um,gap_nn_um,gap_over_d,n_bonds,n_contact,frac_contact,k_net,k_nan,k_me,aniso,k_V1,k_V2,ratio_net,err_net,ratio_V1,err_V1,ratio_V2,err_V2,emt_scope,emt_scope_Rs_pos,engine_version,engine_variant,baseline_fp
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,Rs0,0.0,1.0,850.0,0.0,0.0,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.26640594446617133,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7507339988256018,0.24926600117439823,0.6756605989430416,0.32433940105695835,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,Rs0,0.0,10.0,850.0,0.0,0.0,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,0.26640594446617133,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7507339988256018,0.24926600117439823,0.6756605989430416,0.32433940105695835,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,Rs0,0.0,100.0,850.0,0.0,0.0,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,0.26640594446617133,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7507339988256018,0.24926600117439823,0.6756605989430416,0.32433940105695835,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,untreated,1.11e-07,1.0,850.0,0.0444,0.0222,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.2575121048639222,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7766625188578477,0.22333748114215235,0.698996266972063,0.30100373302793704,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,untreated,1.11e-07,10.0,850.0,0.00444,0.0222,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,0.26543470704314986,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7534809679861775,0.24651903201382253,0.6781328711875598,0.3218671288124402,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,untreated,1.11e-07,100.0,850.0,0.00044400000000000006,0.0222,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,0.26630791855329133,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7510103382824408,0.2489896617175592,0.6759093044541967,0.3240906955458033,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,treated,3.8e-08,1.0,850.0,0.015200000000000002,0.0076,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.26316139364820357,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7599898952783392,0.24001010472166084,0.6839909057505053,0.31600909424949475,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,treated,3.8e-08,10.0,850.0,0.00152,0.0076,17.364656928926816,7.3646569289268164,0.7364656928926816,0,0,0.0,0.0,0.26607119753207664,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7516785050583639,0.24832149494163613,0.6765106545525276,0.32348934544747243,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,epoxy,0.2,treated,3.8e-08,100.0,850.0,0.000152,0.0076,173.64656928926817,73.64656928926817,0.7364656928926817,0,0,0.0,0.0,0.26637236325173064,0.2664059444661713,0.0,0.2,0.18000000000000002,0.0,1.0,0.7508286428761134,0.2491713571238866,0.675745778588502,0.32425422141149796,False,False,v4,holm,014d59a0d7b143ba
SC,6,0.1,0.19098593171027445,AlN,170.0,silicone,0.25,Rs0,0.0,1.0,680.0,0.0,0.0,1.7364656928926816,0.7364656928926816,0.7364656928926816,0,0,0.0,0.0,0.3329262335124572,0.3329262335124572,0.0,0.25,0.225,0.0,1.0,0.7509170946441673,0.24908290535583266,0.6758253851797507,0.32417461482024934,False,False,v4,holm,014d59a0d7b143ba
