u,v,P_share,g,branch,x_mid,y_mid,z_mid,family,d_um,seed,filler,matrix,treat,engine_version,engine_variant,baseline_fp
1196,1234,0.005721337368744977,0.0007002249049577976,contact,244.03978178374896,27.21279998675641,41.01974876460603,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
187,1600,0.005639996905324577,0.000587954065686257,contact,34.21286158523373,34.84561414551456,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
3,1563,0.005444396748746635,0.0038830728892463966,contact,217.94808314066827,39.65881592842815,157.6770900756336,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
202,220,0.005252104472286497,0.004141345544771391,contact,222.07344150467372,207.9246695655728,140.11459172243528,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1591,1685,0.005190255165044306,0.004078323945380668,contact,216.4168876924075,173.15485345216172,229.3119099150788,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
276,1255,0.005107583226069412,0.001006933057208554,contact,23.79528955705689,74.48951679075961,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
653,1046,0.005097146201916543,0.0005751406132587897,contact,201.66080989397167,53.808720411490114,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,1396,0.0049120973255388665,0.003940974855408927,contact,168.15348821648195,96.54423465250275,228.25401807616817,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
102,628,0.004874515207442923,0.0007873023442032341,contact,37.71342593088507,177.8462008873011,29.23447627490826,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
597,1046,0.004867322737344527,0.0005492030870914048,contact,173.60566700958583,40.93124492090888,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1386,1651,0.004807719797710395,0.0008231282735752354,contact,95.85665798678053,165.18396196374258,259.11689924803517,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1046,1186,0.004758080851505887,0.0005368743876808961,contact,180.66374178275387,37.49043509824792,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
623,1359,0.004727646535569885,0.004206768310207718,contact,215.5201655531647,39.65881592842815,231.64721435855296,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
102,1836,0.004715298254047557,0.0007615794192126116,contact,30.99353861694216,184.0435631623028,29.23447627490826,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1317,1359,0.004677126034604038,0.000992397348033883,contact,181.54886888789292,23.79528955705689,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1852,0.004673831527675848,0.0007651942858503268,contact,234.65847876778287,160.29289779393662,36.54279062675526,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1054,1896,0.00461776337067478,0.0039420715635889985,contact,212.71470074248137,246.25736957718624,236.56133250327815,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
871,993,0.004369868136692071,0.0007466751280494745,contact,110.39401126682637,42.9249816917419,260.27105167537337,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
523,1046,0.004264957598893381,0.0004812298767543966,contact,173.83205141931649,35.831290333948104,29.79532625484724,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1255,1930,0.0042317464425642645,0.0022816243383230587,contact,39.65881592842815,97.90570093532787,218.33708263045935,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1670,0.004225481653385532,0.0006917723947030784,contact,255.829503215932,152.05140926239272,36.58115784294242,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
710,1359,0.0042207394108204985,0.0008956050047434263,contact,166.42333993389894,30.204899399311323,256.12831268886225,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1191,1359,0.004216519232823449,0.0008946333390668788,contact,171.25252964696432,30.223030841915367,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
266,777,0.004170049256631564,0.0007374707341709799,contact,109.10504122696273,216.5801132962833,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1234,1597,0.004167755898797692,0.0005100492055320115,contact,240.31888386199086,37.451933084306056,37.901865186021325,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
95,1234,0.004109952071632588,0.0005029960209957844,contact,233.75590328560256,34.82299540588335,41.226701487684224,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1396,1685,0.004084474503433282,0.0020159321243352797,contact,192.05502205056413,136.0360579307761,228.25401807616817,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1074,0.004072446154578825,0.0006667138886794615,contact,262.12844081532995,155.36435856968328,39.91820478253038,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1206,0.004046368197112801,0.0006624506401260769,contact,235.4933371021084,148.69369132347876,38.75498704461299,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
27,1411,0.004000290800911502,0.0004120753297904313,contact,103.74152605991203,61.52519071747693,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1243,0.003961021230903395,0.0006484661427479688,contact,242.40106042948037,156.28579723516782,33.71949850986355,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
822,1386,0.0038894341074524586,0.0006658705815434635,contact,93.02032007943188,171.43841246837633,252.86774595732595,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
952,1359,0.003864892885700281,0.0008200052032771662,contact,189.9696895132073,23.79528955705689,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
640,941,0.0038373545419535826,0.003102887482299124,contact,123.15902767387816,129.7289226204075,62.92170663448769,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
557,871,0.0038285922101380238,0.0006541657113353449,contact,84.81678360289055,23.79528955705689,255.5686501068754,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
18,640,0.003822860647447355,0.0003224652915391963,contact,78.67085760244998,151.48828963814682,28.130819208287967,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1359,1586,0.0038141479087850263,0.0008092355687131589,contact,168.22886434750941,37.25907864565525,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1054,1107,0.0037555314854470718,0.001082454174608988,contact,179.49404195998963,262.1208959485575,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
128,871,0.003755183537727349,0.0006416351023189109,contact,114.61228556006691,30.575548221753802,252.99676333222794,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1170,1359,0.0037479533912653093,0.0007952039629205777,contact,174.31216738147464,23.79528955705689,259.3507436694469,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1359,1396,0.003715052612649318,0.0033097068324675896,contact,191.1582999113213,70.92945497258802,228.25401807616817,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,948,0.003567612142119259,0.0007982595598918157,contact,122.34398522153225,87.60361243604828,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
640,1999,0.003560468699263862,0.0038394492753981873,contact,107.29603517221787,164.24398008484403,66.11195352771287,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1255,1913,0.0035550751675720626,0.0007007858538521904,contact,38.183725313183544,88.42076525489128,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
512,1477,0.003521817278408659,0.0029098811425437836,contact,109.34318443528082,75.51806539221903,128.12755289072498,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1386,1840,0.0034914524336856403,0.0005977212876367337,contact,106.6099912714549,170.68537183660618,259.11689924803517,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1149,1396,0.003433973765583509,0.003680268879624297,contact,221.90304880211534,110.03834749149492,185.34783263775472,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
220,1665,0.0034300949566678993,0.004068261792564668,contact,195.36322826853905,156.05015090583245,134.29894210399527,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
640,1017,0.003395286200113839,0.0002863920292929476,contact,98.9459920714742,125.58125729538192,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
3,677,0.0033616224794585647,0.003930528449799518,contact,215.58252506419825,48.471871268052936,122.66573575676657,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1508,1649,0.003360149186926555,0.0006507026143546745,contact,50.90352471878927,239.26031882754228,258.8196818822213,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1207,1685,0.0033296601511738438,0.0010196710963571215,contact,180.36550590825772,184.7256898534926,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1294,1477,0.0032976755870179155,0.003547760186048393,contact,106.97818744709016,141.28913960242951,158.9668311676515,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1655,1890,0.0031938103988925414,0.0010766579998830752,contact,262.12844081532995,224.94606802491842,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
427,732,0.0030831424710387138,0.001786647448365843,contact,139.28519875930792,245.55589885089813,78.1280926319009,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
66,1359,0.0030649997352526675,0.0006502534098902757,contact,168.60483030026768,45.133724024509476,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
102,640,0.003039609146052426,0.003334691877180295,contact,68.60014724158697,164.81596069013244,45.09800264627952,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
220,801,0.003013346590018558,0.004195881797800074,contact,204.5103740995866,214.73993713165265,107.89770941778247,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,1813,0.0029927139863094635,0.0006695935785128397,contact,124.56026928271135,100.28897539204604,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
868,869,0.0029500908634827235,0.0006601141508056158,contact,117.98657735512532,86.35169324928268,255.75711872438313,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
